Product URL,Product Name,Product Price,Rating,Number of Reviews
/Swisslook-Polyester-15-6-inch-Backpack-Waterproof/dp/B07XYTZP4Z,Red Lemon Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack,"2,999",4.3,"1,778"
/Flamingo-Cosmetic-Sichumaria-Water-Resistant-Organizer/dp/B0B1HNQHXD,Sichumaria Flamingo Cosmetic Bag Portable Travel Makeup Bag for Women Large Travel Water-Resistant Zipper Makeup Organizer for Girls Make Up Bag Brush Bags (Pink),199,3.9,80
/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6,"Safari Seek 32 Ltrs Large Overnighter Travel Laptop Backpack, Water Resistant Spacious Bag for Travelling and Camping, All-Purpose Bag for Business & Leisure- Black","1,959",4.4,271
/Convertible-Backpack-Messenger-Briefcase-Multi-functional/dp/B07D1RWS48,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"2,255",4.2,979
/Dolfin-Backpack-Charging-Resistant-Compartment/dp/B0C5RNGRBP,"Dolfin WaterProof Unisex Laptop Backpack 32L with USB Charging Port C, 15.6 inch Compartment, Water-Resistant and Scratch Resistant, Premium Material Laptop Office Bag for Men and Women","1,699",5.0,3
/Hilfiger-Laptop-Backpack-TH-FERNLAYLAP07/dp/B07P3F44K6,Tommy Hilfiger 27 Ltrs,"1,924",3.9,31
/F-Gear-Burner-Casual-Laptop-Backpack/dp/B016115VXW,F Gear Burner P8 19 Ltrs White Casual Laptop Backpack,854,4.3,"4,015"
/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM8XTXP,Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,589,3.6,382
/Arctic-Fox-Liters-School-Backpack/dp/B0B3MLMSTM,Arctic Fox 17 Liters Go Black School Backpack for Boys and Girls,454,3.6,54
/American-Tourister-Unisex-Laptop-Backpack/dp/B0C8649NY8,"American Tourister SHAW Unisex Laptop Backpack - Teal, Unisex, 17'' Laptop Compatible with Multi-Level Organizer and External Bottle Pocket","1,689",3.3,10
/F-Gear-Burner-Art-Black-Laptop-Backpack/dp/B085QX7J7R,F Gear Burner Art Lthr Black 22 Ltrs Laptop Backpack (3344),978,4.3,498
/FunBlast-Mens-Womens-Sling-Multicolour/dp/B09N42KLNX,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color)",351,3.6,205
